"Sponsor Name","Town/City","Additional Locations","Sponsor Type","Status","Route","Immigration Compliance"
"Abbey College Cambridge","Cambridge",,"Independent school","Student Sponsor","Child Student",
"Abbey College Cambridge","Cambridge",,"Independent school","Student Sponsor","Student",
"Abbey College Manchester","Manchester",,"Independent school","Student Sponsor","Child Student",
"Abbey College Manchester","Manchester",,"Independent school","Student Sponsor","Student",
"Abbey Road Institute","London",,"Private provider","Student Sponsor","Student",
"Abbotsholme School","UTTOXETER",,"Independent school","Student Sponsor","Child Student",
"Abbotsholme School","UTTOXETER",,"Independent school","Student Sponsor","Student",
"Abercorn School","London",,"Independent school","Student Sponsor","Child Student",
"Abercorn School","London",,"Independent school","Student Sponsor","Student",
"Aberdour School Educational Trust","Tadworth",,"Independent school","Student Sponsor","Child Student",
"Abertay University","Dundee",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Aberystwyth University","ABERYSTWYTH",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Abingdon and Witney College","Abingdon",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Abingdon School","Abingdon",,"Independent school","Student Sponsor","Child Student",
"Abingdon School","Abingdon",,"Independent school","Student Sponsor","Student",
"ACCENT International Consortium for Academic Programs Abroad, Ltd.","London",,"Private provider","Student Sponsor","Student",
"Ackworth School","Pontefract",,"Independent school","Student Sponsor","Child Student",
"Ackworth School","Pontefract",,"Independent school","Student Sponsor","Student",
"ACM Guildford Ltd","Guildford",,"Higher Education Institution (HEI)","Probationary Sponsor","Student",
"ACS International Schools Limited","Cobham",,"Independent school","Student Sponsor","Child Student",
"ACS International Schools Limited","Cobham",,"Independent school","Student Sponsor","Student",
"Adcote School Ltd","Shrewsbury",,"Independent school","Student Sponsor","Child Student",
"Adcote School Ltd","Shrewsbury",,"Independent school","Student Sponsor","Student",
"Advanced Studies in England Ltd","Bath",,"Overseas Higher Education Institution","Student Sponsor","Student",
"AECC University College","Bournemouth",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Albemarle Independent College","London",,"Private provider","Student Sponsor","Student",
"Albyn School","Aberdeen",,"Independent school","Student Sponsor - Track Record","Child Student",
"Albyn School","Aberdeen",,"Independent school","Student Sponsor - Track Record","Student",
"Aldro School Educational Trust Limited","Godalming",,"Independent school","Student Sponsor","Child Student",
"All Hallows Preparatory School","Shepton Mallet",,"Independent school","Student Sponsor","Child Student",
"All Hallows Preparatory School","Shepton Mallet",,"Independent school","Student Sponsor","Student",
"All Nations Christian College","WARE",,"Private provider","Student Sponsor - Track Record","Student",
"Alleyn's School Ltd","London",,"Independent school","Student Sponsor","Child Student",
"Alleyn's School Ltd","London",,"Independent school","Student Sponsor","Student",
"Al-Maktoum College of Higher Education","Dundee",,"Private provider","Student Sponsor","Student",
"American Institute for Foreign Study","London",,"Private provider","Student Sponsor","Student",
"American University of the Caribbean School of Medicine","Preston",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Amity University (in) London (a trading name of Amity Global Education Ltd).","London",,"Private provider","Student Sponsor - Track Record","Student",
